date_time,El%20Salvador_maxtempC,El%20Salvador_mintempC,El%20Salvador_totalSnow_cm,El%20Salvador_sunHour,El%20Salvador_uvIndex,El%20Salvador_moon_illumination,El%20Salvador_moonrise,El%20Salvador_moonset,El%20Salvador_sunrise,El%20Salvador_sunset,El%20Salvador_DewPointC,El%20Salvador_FeelsLikeC,El%20Salvador_HeatIndexC,El%20Salvador_WindChillC,El%20Salvador_WindGustKmph,El%20Salvador_cloudcover,El%20Salvador_humidity,El%20Salvador_precipMM,El%20Salvador_pressure,El%20Salvador_tempC,El%20Salvador_visibility,El%20Salvador_winddirDegree,El%20Salvador_windspeedKmph,El%20Salvador_location
2020-04-24,35,23,0.0,12.7,8,7,06:47 AM,07:41 PM,05:39 AM,06:11 PM,20,30,30,28,6,28,67,0.1,1011,35,10,161,5,El%20Salvador
2020-04-25,36,23,0.0,12.7,7,15,07:29 AM,08:32 PM,05:38 AM,06:12 PM,20,30,30,28,6,36,66,4.6,1011,36,10,207,5,El%20Salvador
2020-04-26,35,23,0.0,10.6,7,22,08:14 AM,09:25 PM,05:38 AM,06:12 PM,21,31,31,28,5,66,69,5.7,1012,35,9,157,4,El%20Salvador
2020-04-27,35,23,0.0,11.9,7,30,09:03 AM,10:19 PM,05:37 AM,06:12 PM,20,30,30,28,6,56,68,6.7,1013,35,9,220,4,El%20Salvador
2020-04-28,35,22,0.0,12.8,7,37,09:56 AM,11:14 PM,05:37 AM,06:12 PM,18,31,31,29,7,41,57,0.4,1013,35,10,222,5,El%20Salvador
2020-04-29,32,23,0.0,10.6,6,45,10:52 AM,No moonset,05:36 AM,06:12 PM,20,29,29,27,6,64,66,3.1,1012,32,10,211,5,El%20Salvador
2020-04-30,33,23,0.0,8.0,6,52,11:50 AM,12:07 AM,05:36 AM,06:12 PM,21,29,29,27,6,76,73,13.7,1012,33,9,144,4,El%20Salvador
2020-05-01,33,23,0.0,9.3,6,58,12:49 PM,12:59 AM,05:35 AM,06:13 PM,20,30,30,28,6,72,68,7.6,1013,33,9,189,4,El%20Salvador
2020-05-02,35,23,0.0,12.8,7,65,01:48 PM,01:49 AM,05:35 AM,06:13 PM,19,30,30,28,6,43,61,1.1,1013,35,10,260,4,El%20Salvador
2020-05-03,35,22,0.0,11.9,7,72,02:46 PM,02:36 AM,05:34 AM,06:13 PM,20,31,31,29,6,55,65,1.3,1012,35,10,229,4,El%20Salvador
2020-05-04,34,23,0.0,9.3,6,80,03:45 PM,03:23 AM,05:34 AM,06:13 PM,21,30,30,27,6,67,71,3.0,1011,34,9,202,5,El%20Salvador
2020-05-05,32,24,0.0,9.3,6,87,04:44 PM,04:09 AM,05:34 AM,06:14 PM,22,29,29,26,6,74,77,37.0,1010,32,7,217,4,El%20Salvador
2020-05-06,33,23,0.0,8.0,6,94,05:45 PM,04:56 AM,05:33 AM,06:14 PM,22,29,29,27,6,80,76,18.0,1011,33,8,245,4,El%20Salvador
2020-05-07,34,23,0.0,10.6,6,100,06:46 PM,05:45 AM,05:33 AM,06:14 PM,21,30,30,27,5,63,72,10.4,1011,34,9,229,3,El%20Salvador
2020-05-08,33,22,0.0,12.8,6,100,07:49 PM,06:37 AM,05:33 AM,06:14 PM,20,29,29,27,8,40,73,11.0,1012,33,9,211,5,El%20Salvador
2020-05-09,34,24,0.0,11.9,7,84,08:50 PM,07:32 AM,05:32 AM,06:15 PM,22,31,31,29,5,55,72,5.3,1011,34,9,201,3,El%20Salvador
2020-05-10,32,23,0.0,9.3,6,77,09:50 PM,08:28 AM,05:32 AM,06:15 PM,22,29,29,26,6,79,82,27.2,1012,32,8,289,3,El%20Salvador
2020-05-11,34,23,0.0,10.6,6,70,10:45 PM,09:26 AM,05:32 AM,06:15 PM,21,30,30,27,8,63,73,17.3,1012,34,9,250,5,El%20Salvador
2020-05-12,33,22,0.0,10.6,6,62,11:37 PM,10:22 AM,05:31 AM,06:15 PM,21,29,29,27,5,68,75,8.2,1012,33,9,262,4,El%20Salvador
2020-05-13,29,23,0.0,8.0,6,55,No moonrise,11:16 AM,05:31 AM,06:16 PM,22,28,28,26,7,73,81,15.9,1012,29,8,167,5,El%20Salvador
2020-05-14,28,23,0.0,12.9,6,48,12:22 AM,12:08 PM,05:31 AM,06:16 PM,22,28,28,25,7,55,84,39.2,1012,28,7,207,4,El%20Salvador
2020-05-15,30,22,0.0,8.0,6,40,01:04 AM,12:57 PM,05:30 AM,06:16 PM,22,29,29,26,6,78,81,15.0,1011,30,9,203,4,El%20Salvador
2020-05-16,31,22,0.0,10.6,6,33,01:43 AM,01:44 PM,05:30 AM,06:16 PM,22,29,29,26,6,63,78,4.5,1010,31,10,211,4,El%20Salvador
2020-05-17,31,23,0.0,9.3,6,26,02:19 AM,02:29 PM,05:30 AM,06:17 PM,22,29,29,26,6,74,77,8.4,1011,31,9,200,4,El%20Salvador
2020-05-18,33,22,0.0,10.6,6,19,02:55 AM,03:15 PM,05:30 AM,06:17 PM,22,30,30,27,6,62,79,14.5,1011,33,9,182,4,El%20Salvador
2020-05-19,30,23,0.0,8.0,6,11,03:31 AM,04:01 PM,05:30 AM,06:17 PM,22,29,29,26,7,75,83,22.5,1011,30,8,195,4,El%20Salvador
2020-05-20,30,22,0.0,9.3,6,4,04:07 AM,04:48 PM,05:29 AM,06:18 PM,22,28,28,25,7,77,84,24.8,1011,30,8,187,5,El%20Salvador
2020-05-21,30,22,0.0,10.6,6,0,04:46 AM,05:37 PM,05:29 AM,06:18 PM,22,28,28,25,7,71,82,13.9,1011,30,9,201,4,El%20Salvador
2020-05-22,31,22,0.0,10.6,6,0,05:27 AM,06:27 PM,05:29 AM,06:18 PM,22,29,29,26,8,58,81,10.1,1011,31,9,189,5,El%20Salvador
2020-05-23,30,22,0.0,10.6,6,3,06:11 AM,07:21 PM,05:29 AM,06:18 PM,22,29,29,25,6,57,83,12.9,1011,30,8,195,4,El%20Salvador
2020-05-24,33,22,0.0,12.9,7,10,07:00 AM,08:15 PM,05:29 AM,06:19 PM,21,29,29,26,5,21,76,0.4,1011,33,10,263,4,El%20Salvador
2020-05-25,32,22,0.0,10.6,6,17,07:52 AM,09:11 PM,05:29 AM,06:19 PM,23,30,30,26,6,60,83,15.3,1010,32,6,183,4,El%20Salvador
2020-05-26,33,23,0.0,9.4,6,25,08:48 AM,10:04 PM,05:29 AM,06:19 PM,23,30,30,26,6,66,81,13.9,1010,33,9,214,3,El%20Salvador
2020-05-27,32,21,0.0,11.9,6,32,09:45 AM,10:56 PM,05:29 AM,06:20 PM,21,29,29,27,7,60,77,18.0,1011,32,9,182,5,El%20Salvador
2020-05-28,29,22,0.0,9.4,6,39,10:43 AM,11:46 PM,05:29 AM,06:20 PM,22,27,27,24,7,72,88,35.6,1011,29,7,161,4,El%20Salvador
2020-05-29,29,21,0.0,9.4,5,47,11:41 AM,No moonset,05:29 AM,06:20 PM,21,25,25,23,4,71,87,14.8,1012,29,9,189,2,El%20Salvador
2020-05-30,23,20,0.0,8.1,5,54,12:37 PM,12:33 AM,05:29 AM,06:21 PM,20,21,23,21,10,77,90,25.2,1011,23,7,40,7,El%20Salvador
2020-05-31,22,21,0.0,8.1,5,58,01:34 PM,01:18 AM,05:28 AM,06:21 PM,21,21,23,21,12,100,99,400.6,1011,22,5,130,6,El%20Salvador
2020-06-01,22,21,0.0,8.1,5,71,02:31 PM,02:02 AM,05:28 AM,06:21 PM,21,21,23,21,7,94,98,166.5,1012,22,5,77,4,El%20Salvador
2020-06-02,22,21,0.0,8.1,5,79,03:29 PM,02:47 AM,05:28 AM,06:22 PM,21,21,24,21,7,91,98,89.4,1012,22,7,133,5,El%20Salvador
2020-06-03,22,21,0.0,8.1,5,86,04:28 PM,03:34 AM,05:29 AM,06:22 PM,22,22,24,22,8,100,99,98.8,1009,22,6,202,5,El%20Salvador
2020-06-04,23,21,0.0,8.1,5,94,05:30 PM,04:23 AM,05:29 AM,06:22 PM,21,25,25,22,5,93,97,12.2,1009,23,9,128,3,El%20Salvador
